-0.071619,-1.7957e-07,0.0456,-8.8762e-13,4.3488e-47,-0.017325,4.404e-47
-0.61609,-6.3056e-47,0.43243,0.0087743,0.020152,-0.084663,0.010204
-0.58674,-0.010044,0.56489,0.021892,0.03565,-0.044014,0.025866
-0.68038,-0.20482,0.64358,0.097365,0.12186,0.16177,0.066263
-0.66189,-0.22098,0.57351,0.091333,0.056033,0.25127,0.11855
-0.76973,-0.33698,0.61249,-0.0087766,-0.010076,0.21274,0.29452
-0.72092,-0.46642,0.6576,-0.14375,-0.080839,0.28933,0.48883
-0.63405,-0.67699,0.72746,-0.2694,-0.13662,0.38421,0.54185
-0.42114,-0.67682,0.80339,-0.29113,-0.102,0.52404,0.54564
-0.32673,-0.81981,0.64944,-0.32205,-0.085881,0.59609,0.60385
-0.22303,-0.82394,0.60621,-0.27675,-0.040097,0.58093,0.44405
-0.094599,-0.80747,0.46122,-0.23576,-0.040256,0.57272,0.53201
0.30731,-0.62026,-0.14655,-0.21122,-0.15224,0.25639,0.49418
0.41627,-0.49959,-0.70217,-0.2412,-0.28982,0.0091353,0.40688
0.27987,-0.5166,-0.70108,-0.23996,-0.38041,3.9358e-47,0.47042
0.34787,-0.6193,-0.67754,-0.17831,-0.36208,0.030561,0.43273
0.087314,-0.72895,-0.38187,-0.14739,-0.32672,0.3021,0.52022
0.071474,-0.79783,-0.31239,-0.069642,-0.26423,0.30081,0.43641
0.080426,-0.74269,-0.29876,-0.047126,-0.25382,0.31796,0.46451
-0.009904,-0.64158,-0.30329,-8.8163e-07,-0.25052,0.17961,0.31792
-0.068122,-0.60671,-0.20527,-5.5098e-47,-0.29504,0.086216,0.1736
-0.12812,-0.45868,-0.24477,0.0087039,-0.314,0.10347,0.18236
-0.19251,-0.4739,-0.25121,0.060619,-0.37533,0.063349,0.11183
-0.22077,-0.42976,-0.33395,0.10252,-0.42991,0.05844,0.091024
-0.19701,-0.49765,-0.30296,0.1336,-0.48641,0.03659,0.046651
-0.18906,-0.4731,-0.31192,0.15624,-0.45286,0.035135,0.038726
-0.19533,-0.5029,-0.29839,0.20659,-0.38681,0.030561,0.015794
-0.17111,-0.45914,-0.30504,0.24666,-0.42746,0.014114,0.020257
-0.14268,-0.48721,-0.29027,0.29681,-0.37042,0.017483,0.025997
-0.10171,-0.46697,-0.31651,0.2985,-0.36132,0.024911,0.027873
-0.075124,-0.47297,-0.28553,0.31807,-0.31147,0.025981,0.031068
-0.044371,-0.44253,-0.23412,0.28516,-0.23104,0.019665,0.030336
-0.009904,-0.43575,-0.19229,0.32559,-0.19875,0.02491,0.024976
-3.1479e-07,-0.34009,-0.13028,0.26384,-0.14515,0.009358,0.018905
-0.014237,-0.28037,-0.1418,0.18719,-0.15192,0.018105,0.030136
-0.034463,-0.2775,-0.11153,0.15585,-0.12642,3.9358e-47,0.033753
-0.064144,-0.2192,-0.1482,0.063475,-0.12198,3.9358e-47,0.050476
-0.1045,-0.13228,-0.093469,0.013585,-0.072503,2.9049e-09,0.044013
-0.099866,-0.071577,-0.10019,-0.0087766,-0.10765,3.9358e-47,0.060248
-0.098101,-0.049822,-0.097662,-0.052471,-0.14293,3.9358e-47,0.06944
